V,Instance,payoff,a,d,eta,epsilon,gamma,numNE,epx,time,equilibrium,maxWelfareA,maxWelfareD,SocialWelfare,PayoffD,PayoffA,PoSocialWelfare,PoSecurity,PoAggressivity,epx,traffic,degradation,num_iterations,num_dominance,num_equilibrium
10,10-6,OBJ.Attacker,0.03,0.3,0.8,1.0,0,0.6400000000000000,1,0.023154735565185500,"{'PayoffD': 374.4, 'PayoffA': 0.7999999999999998, 'SocialWelfare': 375.2, 'x': array([0., 0., 0., 0., 0., 0., 0., 1., 0., 0.]), 'alpha': array([0., 0., 0., 0., 0., 0., 0., 1., 0., 0.]), 'traffic': 121.6, 'degradation': 0, 'epx': 0.0, 'PoAggressivity': 1.0, 'PoSecurity': 1.002, 'PoSocialWelfare': 1.007, 'encoding_x': '4.0', 'encoding_alpha': '4.0'}",4.0,375.0,377.92,374.4,0.8000000000000000,1.007,1.002,5,0.0,121.6,0,2,0,2
10,10-6,OBJ.Defender,0.03,0.3,0.8,1.0,0,0.6400000000000000,1,0.026189088821411100,"{'PayoffD': 374.4, 'PayoffA': 0.7999999999999998, 'SocialWelfare': 375.2, 'x': array([0., 0., 0., 0., 0., 0., 0., 1., 0., 0.]), 'alpha': array([0., 0., 0., 0., 0., 0., 0., 1., 0., 0.]), 'traffic': 121.6, 'degradation': 0, 'epx': 0.0, 'PoAggressivity': 1.0, 'PoSecurity': 1.002, 'PoSocialWelfare': 1.007, 'encoding_x': '4.0', 'encoding_alpha': '4.0'}",4.0,375.0,377.92,374.4,0.8000000000000000,1.007,1.002,5,0.0,121.6,0,2,0,4
10,10-7,OBJ.Attacker,0.1,0.3,0.8,1.0,0,0.6400000000000000,1,0.055956125259399400,"{'PayoffD': 369.24, 'PayoffA': 16.0, 'SocialWelfare': 385.24, 'x': array([0., 0., 0., 0., 0., 0., 1., 0., 0., 0.]), 'alpha': array([0., 0., 0., 0., 1., 0., 0., 0., 0., 0.]), 'traffic': 118.04, 'degradation': 3, 'epx': 5.0, 'PoAggressivity': 1.0, 'PoSecurity': 1.016, 'PoSocialWelfare': 1.0, 'encoding_x': '8.0', 'encoding_alpha': '32.0'}",16.0,375.0,385.24,369.24,16.0,1.0,1.016,1.0,5.0,118.04,3,7,0,14
10,10-7,OBJ.Defender,0.1,0.3,0.8,1.0,0,0.6400000000000000,1,0.05585956573486330,"{'PayoffD': 375.0, 'PayoffA': 0.0, 'SocialWelfare': 375.0, 'x': array([1., 0., 0., 0., 1., 0., 1., 0., 1., 0.]), 'alpha': array([0., 0., 0., 0., 0., 0., 0., 0., 0., 0.]), 'traffic': 122.0, 'degradation': 0, 'epx': 5.0, 'PoAggressivity': 1.0, 'PoSecurity': 1.0, 'PoSocialWelfare': 1.027, 'encoding_x': '554.0', 'encoding_alpha': '0.0'}",16.0,375.0,385.24,375.0,0.0,1.027,1.0,16,5.0,122.0,0,7,0,16
10,10-8,OBJ.Attacker,0.03,0.75,0.8,1.0,0,0.6400000000000000,1,0.023311853408813500,"{'PayoffD': 374.4, 'PayoffA': 0.7999999999999998, 'SocialWelfare': 375.2, 'x': array([0., 0., 0., 0., 0., 0., 0., 1., 0., 0.]), 'alpha': array([0., 0., 0., 0., 0., 0., 0., 1., 0., 0.]), 'traffic': 121.6, 'degradation': 0, 'epx': 0.0, 'PoAggressivity': 1.0, 'PoSecurity': 1.002, 'PoSocialWelfare': 1.007, 'encoding_x': '4.0', 'encoding_alpha': '4.0'}",4.0,375.0,377.92,374.4,0.8000000000000000,1.007,1.002,5,0.0,121.6,0,2,0,2
10,10-8,OBJ.Defender,0.03,0.75,0.8,1.0,0,0.6400000000000000,1,0.028661251068115200,"{'PayoffD': 374.4, 'PayoffA': 0.7999999999999998, 'SocialWelfare': 375.2, 'x': array([0., 0., 0., 0., 0., 0., 0., 1., 0., 0.]), 'alpha': array([0., 0., 0., 0., 0., 0., 0., 1., 0., 0.]), 'traffic': 121.6, 'degradation': 0, 'epx': 0.0, 'PoAggressivity': 1.0, 'PoSecurity': 1.002, 'PoSocialWelfare': 1.007, 'encoding_x': '4.0', 'encoding_alpha': '4.0'}",4.0,375.0,377.92,374.4,0.8000000000000000,1.007,1.002,5,0.0,121.6,0,2,0,4
10,10-9,OBJ.Attacker,0.1,0.75,0.8,1.0,0,0.6400000000000000,1,0.042798519134521500,"{'PayoffD': 371.8, 'PayoffA': 3.1999999999999993, 'SocialWelfare': 375.0, 'x': array([1., 0., 0., 1., 1., 1., 1., 1., 1., 0.]), 'alpha': array([0., 0., 0., 0., 1., 0., 0., 0., 0., 0.]), 'traffic': 119.8, 'degradation': 2, 'epx': 0.0, 'PoAggressivity': 1.0, 'PoSecurity': 1.009, 'PoSocialWelfare': 1.027, 'encoding_x': '638.0', 'encoding_alpha': '32.0'}",16.0,375.0,385.24,371.8,3.2000000000000000,1.027,1.009,5,0.0,119.8,2,5,0,12
10,10-9,OBJ.Defender,0.1,0.75,0.8,1.0,0,0.6400000000000000,1,0.044623374938964800,"{'PayoffD': 371.8, 'PayoffA': 3.1999999999999993, 'SocialWelfare': 375.0, 'x': array([1., 0., 0., 0., 1., 0., 1., 1., 1., 0.]), 'alpha': array([0., 0., 0., 0., 1., 0., 0., 0., 0., 0.]), 'traffic': 119.8, 'degradation': 2, 'epx': 0.0, 'PoAggressivity': 1.0, 'PoSecurity': 1.009, 'PoSocialWelfare': 1.027, 'encoding_x': '558.0', 'encoding_alpha': '32.0'}",16.0,375.0,385.24,371.8,3.2000000000000000,1.027,1.009,5,0.0,119.8,2,5,1,12
10-,10-10,OBJ.Attacker,0.3,0.75,0.8,1.0,0,0.6400000000000000,1,0.17597007751464800,"{'PayoffD': 317.28, 'PayoffA': 39.599999999999994, 'SocialWelfare': 356.88, 'x': array([0., 1., 1., 0., 1., 0., 1., 1., 0., 0.]), 'alpha': array([0., 1., 0., 1., 0., 0., 0., 0., 0., 0.]), 'traffic': 110.4, 'degradation': 10, 'epx': 5.0, 'PoAggressivity': 1.001, 'PoSecurity': 1.182, 'PoSocialWelfare': 1.135, 'encoding_x': '428.0', 'encoding_alpha': '320.0'}",102.0,375.0,404.92,317.28,39.600000000000000,1.135,1.182,2.57575757575758,5.0,110.4,10,12,0,46
10-,10-10,OBJ.Defender,0.3,0.75,0.8,1.0,0,0.6400000000000000,1,0.23420429229736300,"{'PayoffD': 318.72, 'PayoffA': 36.599999999999994, 'SocialWelfare': 355.32000000000005, 'x': array([0., 1., 0., 1., 1., 0., 1., 1., 0., 0.]), 'alpha': array([0., 1., 1., 0., 0., 0., 0., 0., 0., 0.]), 'traffic': 111.12, 'degradation': 9, 'epx': 5.0, 'PoAggressivity': 1.001, 'PoSecurity': 1.177, 'PoSocialWelfare': 1.14, 'encoding_x': '364.0', 'encoding_alpha': '384.0'}",102.0,375.0,404.92,318.72,36.600000000000000,1.14,1.177,2.78688524590164,5.0,111.12,9,9,0,52
10-,10-11,OBJ.Attacker,0.03,0.3,0.6,0.75,0.1,0.48,1,0.027159929275512700,"{'PayoffD': 373.8, 'PayoffA': -18.7, 'SocialWelfare': 355.1, 'x': array([0., 0., 0., 0., 0., 0., 0., 1., 0., 0.]), 'alpha': array([0., 0., 0., 0., 0., 0., 0., 1., 0., 0.]), 'traffic': 121.2, 'degradation': 1, 'epx': 0.0, 'PoAggressivity': 1.0, 'PoSecurity': 1.003, 'PoSocialWelfare': 1.006, 'encoding_x': '4.0', 'encoding_alpha': '4.0'}",-6.000000000000000,375.0,357.14,373.8,-18.7,1.006,1.003,1.67914438502674,0.0,121.2,1,2,0,4
10-,10-11,OBJ.Defender,0.03,0.3,0.6,0.75,0.1,0.48,1,0.13229727745056200,"{'PayoffD': 373.8, 'PayoffA': -18.7, 'SocialWelfare': 355.1, 'x': array([0., 0., 0., 0., 0., 0., 0., 1., 0., 0.]), 'alpha': array([0., 0., 0., 0., 0., 0., 0., 1., 0., 0.]), 'traffic': 121.2, 'degradation': 1, 'epx': 0.0, 'PoAggressivity': 1.0, 'PoSecurity': 1.003, 'PoSocialWelfare': 1.006, 'encoding_x': '4.0', 'encoding_alpha': '4.0'}",-6.000000000000000,375.0,357.14,373.8,-18.7,1.006,1.003,1.67914438502674,0.0,121.2,1,2,0,4
10-,10-12,OBJ.Attacker,0.1,0.3,0.6,0.75,0.1,0.48,1,0.04050040245056150,"{'PayoffD': 364.18, 'PayoffA': -1.8000000000000014, 'SocialWelfare': 362.38, 'x': array([0., 0., 0., 0., 0., 0., 0., 1., 1., 0.]), 'alpha': array([0., 0., 0., 0., 1., 0., 0., 0., 0., 0.]), 'traffic': 114.28, 'degradation': 6, 'epx': 5.0, 'PoAggressivity': 1.0, 'PoSecurity': 1.03, 'PoSocialWelfare': 1.003, 'encoding_x': '6.0', 'encoding_alpha': '32.0'}",6.9,375.0,363.58,364.18,-1.8000000000000000,1.003,1.03,5.83333333333333,5.0,114.28,6,4,0,8
10-,10-12,OBJ.Defender,0.1,0.3,0.6,0.75,0.1,0.48,1,0.03619861602783200,"{'PayoffD': 367.36, 'PayoffA': -9.200000000000003, 'SocialWelfare': 358.16, 'x': array([0., 0., 0., 0., 1., 0., 0., 0., 0., 0.]), 'alpha': array([1., 0., 0., 0., 0., 0., 0., 0., 0., 0.]), 'traffic': 116.13, 'degradation': 5, 'epx': 5.0, 'PoAggressivity': 1.0, 'PoSecurity': 1.021, 'PoSocialWelfare': 1.015, 'encoding_x': '32.0', 'encoding_alpha': '512.0'}",6.9,375.0,363.58,367.36,-9.200000000000000,1.015,1.021,2.75,5.0,116.13,5,4,0,6
